#{"t_start": 1740175789.466086, "env_id": null}
r,l,t
1.0,800,9.42905
0.0,600,16.819206
0.0,600,24.739297
0.0,600,66.227934
0.0,600,73.405603
0.0,600,81.265513
0.0,600,123.367995
0.0,600,131.232815
0.0,600,139.005499
0.0,600,180.873651
0.0,600,188.094833
0.0,600,195.833235
0.0,600,203.033762
0.0,600,246.068737
0.0,600,253.797434
0.0,600,260.965748
0.0,600,303.528105
0.0,600,311.253068
0.0,600,318.669018
0.0,600,325.902062
0.0,42,329.049129
0.0,600,370.714473
0.0,600,377.969661
0.0,600,385.189766
1.1,800,427.566035
0.0,600,434.213221
1.0,800,443.135395
0.0,600,484.316258
0.0,600,491.400824
1.0,800,499.916742
0.0,600,541.454039
0.0,600,548.601757
0.0,600,556.187626
0.0,600,597.586964
0.0,600,604.409423
0.0,600,611.471603
0.0,600,618.148875
1.0,800,661.184297
0.0,600,668.860673
0.0,600,676.279859
0.0,600,717.852167
0.0,600,725.071681
1.0,800,734.079689
0.0,600,776.307261
0.0,600,783.402162
0.0,600,790.641284
1.0,800,835.604216
0.0,600,843.00968
0.0,600,850.318567
0.0,600,892.047077
0.0,600,899.432494
0.0,600,907.232227
1.1,800,952.262853
1.0,800,960.719798
0.0,600,967.718393
0.0,600,1009.951643
0.0,600,1017.389892
0.0,600,1024.954594
0.0,600,1032.036067
1.0,800,1076.501024
0.0,600,1083.971492
0.0,600,1091.968272
0.0,600,1135.090032
0.0,600,1142.661883
0.0,600,1149.812662
0.0,600,1192.779027
1.0,800,1201.213556
0.0,600,1208.381572
1.0,800,1252.071859
0.0,600,1259.076848
1.0,800,1267.456775
0.0,600,1309.403926
0.0,600,1316.607426
0.0,600,1323.861088
0.0,600,1330.44522
0.0,600,1371.904779
0.0,600,1379.48565
0.0,600,1386.648477
0.0,600,1430.353388
0.0,600,1437.4427
0.0,600,1444.645828
0.0,600,1486.098569
0.0,600,1493.099975
0.0,600,1500.777105
1.0,800,1509.67489
0.0,600,1550.956737
0.0,600,1558.435702
0.0,600,1565.448518
1.0,800,1610.149696
1.0,800,1620.188768
0.0,600,1627.348428
0.0,600,1669.973472
0.0,600,1676.979456
1.0,800,1685.933946
0.0,600,1727.329619
0.0,600,1734.697121
1.0,800,1743.675519
0.0,600,1786.75895
0.0,600,1794.328558
0.0,600,1801.300943
0.0,600,1843.006579
0.0,600,1851.003735
1.0,800,1859.540817
1.0,800,1903.83296
1.0,800,1912.252497
0.0,600,1919.269745
0.0,600,1960.876496
0.0,600,1968.074129
0.0,600,1975.32499
0.0,600,2017.123346
0.0,600,2024.588553
0.0,600,2031.523607
1.1,800,2041.520395
1.0,800,2086.663323
1.0,800,2096.071368
0.0,600,2138.020915
0.0,600,2145.289952
0.0,600,2152.038952
0.0,600,2159.543688
0.0,600,2201.31264
0.0,600,2209.023507
1.0,800,2218.137859
1.0,800,2262.124021
1.0,800,2270.513633
0.0,600,2277.270554
0.0,600,2319.962427
0.0,600,2327.083921
0.0,526,2334.199875
0.0,600,2375.647229
1.0,800,2384.345458
1.0,800,2392.866509
0.0,600,2434.273934
0.0,600,2441.75244
0.0,600,2448.962804
0.0,600,2490.916237
0.0,600,2498.598967
0.0,600,2505.640819
0.0,600,2512.892598
1.0,800,2559.302404
0.0,600,2566.371665
0.0,600,2573.775245
0.0,600,2616.401013
0.0,600,2623.884342
0.0,600,2631.716347
0.0,600,2674.30336
0.0,600,2681.323261
0.0,600,2688.355371
0.0,600,2695.527055
0.0,600,2736.84301
0.0,600,2744.151386
1.1,800,2752.820368
0.0,600,2794.607732
0.0,600,2801.593314
0.0,600,2808.55942
1.0,800,2852.020337
1.0,800,2861.128704
0.0,600,2868.66559
