#{"t_start": 1740197390.902573, "env_id": null}
r,l,t
0.0,600,72.153245
0.0,600,142.678114
0.0,600,210.278972
0.0,600,281.527262
0.0,600,349.768564
1.0,800,439.911911
0.0,600,508.501867
0.0,600,577.755833
1.0,800,668.964451
0.0,600,738.312859
0.0,600,809.587627
0.0,600,883.872237
0.0,600,954.940799
0.0,600,1025.154378
0.0,600,1094.684804
0.0,600,1165.385898
0.0,600,1238.640399
0.0,600,1307.643654
0.0,600,1376.349724
0.0,600,1447.582489
0.0,600,1523.578895
0.0,600,1596.242826
0.0,600,1667.2452
0.0,600,1738.229237
1.2,800,1830.936703
1.0,800,1924.162322
0.0,600,1992.732803
1.0,800,2083.828916
1.0,800,2178.334028
0.0,600,2247.502804
0.0,600,2317.208933
0.0,600,2385.132034
0.0,600,2465.605686
0.0,600,2536.333199
0.0,600,2605.626351
0.0,600,2676.755017
1.1,800,2772.840743
0.0,600,2843.441806
